name,categories,lat,lng,id,venue_id
Subway,Sandwich Place,43.64620942980489,-79.38359506100971,4b86c8d6f964a5201b9d31e3,
Subway,Sandwich Place,43.64645929083939,-79.38950568877495,4c7e90a5d51ea1430508589f,
Imago Restaurants,Restaurant,43.64791,-79.39081,4d14c68e380a8eec7b2185fa,
Milagro Cantina Mexicana,Mexican Restaurant,43.645097,-79.389337,4afda2faf964a5205d2922e3,
Kit Kat Italian Bar & Grill,Italian Restaurant,43.64641598988062,-79.39003009548966,4b3ace79f964a520ae6e25e3,
Fune Japanese Restaurant,Japanese Restaurant,43.64851365544565,-79.38645657820041,4afa1f33f964a520e91622e3,
Bottom Line Restaurant & Bar,Bar,43.646286,-79.378086,4d542fc4f9f9b60c3b8d2be6,35051000
McDonald's,Fast Food Restaurant,43.645255003632315,-79.38056992394257,4b8d36f8f964a520c7ed32e3,
Epic,Wine Bar,43.64551466995504,-79.38123877444932,4ad4c05df964a5203af620e3,
Stratus,Restaurant,43.64618144730835,-79.38080934737143,4b231e82f964a5208e5324e3,
Canoe,Restaurant,43.647452066183476,-79.38132001815676,4ad4c05df964a52059f620e3,40552945
Earls Kitchen & Bar,Bar,43.647945662980305,-79.3837058277153,4d2b615e342d6dcb2b8115cb,
Over Easy,Breakfast Spot,43.64807704204346,-79.37759871575396,4b06e099f964a52002f222e3,
Fran's,Diner,43.647364016367966,-79.3760469880873,4c6960a08e7c0f470a68df0f,
Ki Modern Japanese + Bar,Japanese Restaurant,43.647223,-79.3793738,4ae73054f964a5203ca921e3,
Jump,American Restaurant,43.64814738516352,-79.37875242540652,4ad4c060f964a52057f720e3,41473022
The Lakeview Restaurant,Diner,43.64943515996231,-79.42039021958406,4b22e814f964a520175024e3,
Moliceiro Restaurant,Portuguese Restaurant,43.648816,-79.420487,57b88065498eab22ccdd78d8,
Quality Inn Restaurant,Restaurant,43.649329,-79.421472,4afd733af964a520e52722e3,
One day pop-up restaurant,Mexican Restaurant,43.6509366,-79.4217553,4f954f48e4b0f08d416ca47d,
Founder Restaurant & Bar,Restaurant,43.64947797447339,-79.42535203846116,5af9ee1eff03060039db2be2,494579197
Foxley Bistro,Asian Restaurant,43.648642746283834,-79.42049525794245,4af369d0f964a52060ed21e3,
Patois Toronto,Caribbean Restaurant,43.651900269201214,-79.40816897297664,5354c0be498e7c38a9cc7367,
Full Moon Vegetarian Restaurant,,43.652131,-79.40252,4b8171a1f964a5205da630e3,
Greens Vegetarian Restaurant,Vegetarian / Vegan Restaurant,43.652033704026216,-79.40238187213345,4cb79089dd41a35d6a2fd4a0,
The Boat Restaurant,Nightclub,43.652938231333486,-79.40141026049001,4ad4c05ff964a52040f720e3,
Aji Sai Japanese Restaurant,Sushi Restaurant,43.64849829452195,-79.39746943581353,4adf4011f964a520b97821e3,
Goldstone Noodle Restaurant 金石,Noodle House,43.6522783893466,-79.39803917534071,4b266f05f964a520657b24e3,
Green Tea Restaurant Downtown,Chinese Restaurant,43.652487830335545,-79.39750134944916,5c33c7cd8194fc002c66f72e,
Kensington Cornerstone Restaurant,Breakfast Spot,43.65280330843737,-79.39995806711424,4bce1ec0cc8cd13a9ac8c3cf,
Sky Dragon Chinese Restaurant 龍翔酒樓,Dim Sum Restaurant,43.65278331265585,-79.39817372355205,4b072e9df964a52009f922e3,
Ricarda's Mediterranean Restaurant & Bakery,Restaurant,43.648439424996475,-79.39389646053314,5e2e7bb787af750008e36a82,
Ali My Restaurant,Vietnamese Restaurant,43.65095604428919,-79.39717690303505,5269d9f211d2da02dd68ed5a,
Yoo J Express Restaurant (Purple Place! ),Chinese Restaurant,43.652564476551404,-79.3989031071905,51b604a0498e2384782ee1ef,
Kim Vietnamese Restaurant,Vietnamese Restaurant,43.652748,-79.399377,59eccc99dff8150ccdd70355,
Sang Ho Seafood Restaurant,Chinese Restaurant,43.65274725995042,-79.39902086744584,4b772c00f964a52097842ee3,
Bun Saigon Vietnamese Restaurant,Vietnamese Restaurant,43.651676463481216,-79.39765619789816,4af1c3a4f964a520f2e221e3,
Canteen Restaurant,Chinese Restaurant,43.6528214686215,-79.39827498252554,4ae7710bf964a52057ab21e3,
Ricarda's Toronto,Mediterranean Restaurant,43.64855585967538,-79.39343248995296,5792bb19498e1e1d0b52f008,357301892
East Restaurant Asian Street Flair,Asian Restaurant,43.64998452583986,-79.39056268913188,4ae31ac7f964a520799021e3,
Tundra Restaurant,Restaurant,43.650068857878594,-79.38540891817722,50ca02c0245f2d4aa8c2b313,
Anoush Restaurant,Restaurant,43.654588,-79.389692,4b82c671f964a52016e430e3,
Little India Restaurant,Indian Restaurant,43.65031880877208,-79.38899760320798,4ad8a5a7f964a5203c1321e3,57793907
Barristers Bar,Restaurant,43.64979669604817,-79.3858073393927,50ca02be245f2d4aa8c2ab5b,
Restaurant | Adelaide,Restaurant,43.649563,-79.38059,5a7c3e079de23b294a2c4117,
Vineyard Jamaican Restaurant,Caribbean Restaurant,43.64955,-79.38078,4ba2ab4af964a520650e38e3,
Maezo Restaurant,Indian Restaurant,43.6513954168839,-79.38188786532692,5b7618541ffe97002c1a13ae,
Maezo Restaurant & Bar,Indian Restaurant,43.651090520885205,-79.38184261322021,5834c90e110d032f3217f899,369067217
Osgoode Hall Restaurant,New American Restaurant,43.651978959035155,-79.3850485857013,4cffc78a75d3236a3b10e7f7,
Cru Restaurant,Restaurant,43.64982,-79.37835,5c636fa1492814002c0cb117,
